	variable1	variable2	correlation	pvalue	support	corrected pvalue
	Richness	OTU_5	-0.537210722953607	8.05143299675848e-06	61	0.0012
	Richness	OTU_4	-0.585671548885949	3.28423079265505e-06	54	9e-04
	Richness	OTU_41	-0.548005329204379	4.58542285430852e-05	49	0.0035
	Richness	OTU_31	-0.546857728184345	0.000381542053343731	38	0.0194
	Richness	OTU_39	-0.522502029677815	0.00215644408102111	32	0.0543
	Richness	OTU_10	-0.270242784698944	0.0307965750042742	64	0.2296
	Richness	OTU_19	-0.48348856395211	0.00136323639673153	41	0.0412
	Richness	OTU_57	-0.515390546163195	6.66108981055569e-05	54	0.0047
	Richness	OTU_69	-0.354459959095505	0.0156509343345426	46	0.1621
	Richness	OTU_18	-0.332383579257791	0.0140642367903732	54	0.1496
	Richness	OTU_36	0.535220900120605	0.00849551534531168	23	0.1115
	Richness	OTU_34	-0.57754267980377	0.00200466381122677	26	0.0529
	Richness	OTU_3	0.670758345068738	1.41835314486638e-05	34	0.0015
	Shannon.effective	OTU_5	-0.513955928064215	2.26990442073749e-05	61	0.0022
	Shannon.effective	OTU_4	-0.617431007660665	6.59116439205576e-07	54	4e-04
	Shannon.effective	OTU_2	-0.2844437259461	0.0216518526888607	65	0.1868
	Shannon.effective	OTU_41	-0.411969926048594	0.00326964838633681	49	0.0691
	Shannon.effective	OTU_31	-0.656371351528493	7.65681877412661e-06	38	0.0012
	Shannon.effective	OTU_39	-0.57305807473878	0.000607843973357003	32	0.0245
	Shannon.effective	OTU_9	-0.324985117581329	0.00995963238069075	62	0.1245
	Shannon.effective	OTU_10	-0.327940471774934	0.00815923017716713	64	0.1115
	Shannon.effective	OTU_19	-0.351323428278859	0.0243011581244925	41	0.2002
	Shannon.effective	OTU_57	-0.439451937494002	0.000885344066476446	54	0.0324
	Shannon.effective	OTU_54	-0.476616732922644	0.0249216655135487	22	0.2047
	Shannon.effective	OTU_69	-0.324964437407566	0.0275561168164269	46	0.2167
	Shannon.effective	OTU_64	-0.46954313616369	0.0178794139978846	25	0.1704
	Shannon.effective	OTU_51	0.577281086038494	0.00769442839079337	20	0.1094
	Shannon.effective	OTU_36	0.512909938546716	0.0123230032778485	23	0.1415
	Shannon.effective	OTU_34	-0.594330261790272	0.00136639334662503	26	0.0412
	Shannon.effective	OTU_3	0.570363339743719	0.000428527369130904	34	0.0206
	Simpson.effective	OTU_5	-0.379785349578764	0.00253743376151072	61	0.0602
	Simpson.effective	OTU_4	-0.564158628167343	8.88096585693887e-06	54	0.0012
	Simpson.effective	OTU_2	-0.390720078770676	0.00129127059763312	65	0.0398
	Simpson.effective	OTU_31	-0.508114250500906	0.00112672937127445	38	0.0364
	Simpson.effective	OTU_39	-0.359230943453639	0.043462807895895	32	0.2842
	Simpson.effective	OTU_9	-0.405477952418091	0.00107767807336479	62	0.0352
	Simpson.effective	OTU_10	-0.292285748961952	0.0190970547286176	64	0.1741
	Simpson.effective	OTU_57	-0.394469969102516	0.0031609737512901	54	0.0691
	Simpson.effective	OTU_54	-0.456745561620922	0.0326080745845134	22	0.2412
	Simpson.effective	OTU_67	0.377296400868887	0.0106199650063035	45	0.1256
	Simpson.effective	OTU_64	-0.425377165442749	0.0340164684909499	25	0.2455
	Simpson.effective	OTU_51	0.669160096832721	0.00125311967802855	20	0.0391
	Simpson.effective	OTU_3	0.434947390445737	0.0101494723888407	34	0.1245
	OTU_1	OTU_2	0.507124997505109	2.59524931836008e-05	62	0.0022
	OTU_1	OTU_41	-0.460405113363417	0.000992153560619879	48	0.0328
	OTU_1	OTU_39	-0.530354201891664	0.00214762011898251	31	0.0543
	OTU_1	OTU_9	0.441852900771008	0.000459200916895108	59	0.021
	OTU_1	OTU_12	-0.385958489397487	0.0220228480798981	35	0.1874
	OTU_1	OTU_19	-0.37220496128131	0.0180270203754567	40	0.1704
	OTU_1	OTU_11	-0.43997392147576	0.0104016090346248	33	0.1245
	OTU_1	OTU_14	-0.437638978681701	0.0053332016806904	39	0.0841
	OTU_1	OTU_33	-0.464539536572945	0.000521857204926146	52	0.022
	OTU_1	OTU_18	-0.435764151283984	0.00124228575713548	52	0.0391
	OTU_1	OTU_26	0.366205217208784	0.0201242528721539	40	0.1791
	OTU_1	OTU_538	-0.365437159684727	0.03650314052084	33	0.2568
	OTU_1	OTU_43	-0.412426279386251	0.00323203602712385	49	0.0691
	OTU_1	OTU_92	-0.637976696888832	0.00247324715171393	20	0.0601
	OTU_1	OTU_93	-0.430710255968824	0.0453826748191906	22	0.2877
	OTU_1	OTU_88	0.454867420665356	0.0438952464014384	20	0.2842
	OTU_1	OTU_51	-0.48954939909148	0.0284620846938561	20	0.2188
	OTU_5	OTU_4	0.44891417837072	0.000952535170961832	51	0.0328
	OTU_5	OTU_41	0.411916452002075	0.00445030652248901	46	0.0803
	OTU_5	OTU_31	0.385681123759592	0.022126600954367	35	0.1874
	OTU_5	OTU_39	0.596109605109208	0.000643855992535247	29	0.0245
	OTU_5	OTU_20	0.537276109042478	8.23466251111959e-05	48	0.0053
	OTU_5	OTU_10	0.382495665594511	0.00234873347446984	61	0.0581
	OTU_5	OTU_57	0.328163077168411	0.0187245416921145	51	0.1717
	OTU_5	OTU_69	0.316457444123082	0.0341843755452462	45	0.2455
	OTU_5	OTU_18	0.312149412330769	0.0228772279992877	53	0.1902
	OTU_5	OTU_24	-0.400780767586997	0.0254598188803365	31	0.2067
	OTU_5	OTU_538	0.410629890377299	0.0195704936091756	32	0.1772
	OTU_5	OTU_25	-0.522242356064139	0.00366028522005046	29	0.0715
	OTU_5	OTU_7	-0.443905580844939	0.0158550847768253	29	0.1621
	OTU_5	OTU_34	0.723067213553485	3.0066239820048e-05	26	0.0024
	OTU_5	OTU_22	-0.491009775314746	0.0238065430530248	21	0.1968
	OTU_4	OTU_41	0.353159934622696	0.0217821883849405	42	0.1868
	OTU_4	OTU_31	0.473894666337272	0.00350451938473872	36	0.0711
	OTU_4	OTU_39	0.474276878852024	0.00810006886954673	30	0.1115
	OTU_4	OTU_10	0.468921463856024	0.000348199418505502	54	0.0187
	OTU_4	OTU_57	0.423727571178674	0.00372587515089196	45	0.0715
	OTU_4	OTU_69	0.44276749221654	0.00422249688783505	40	0.0772
	OTU_4	OTU_64	0.584944954037449	0.00534810392634588	21	0.0841
	OTU_4	OTU_8	-0.381172957548638	0.049798322873446	27	0.299
	OTU_4	OTU_22	-0.523054085724541	0.0376170391085204	16	0.2593
	OTU_2	OTU_39	-0.380962686566702	0.0314624740051697	32	0.2333
	OTU_2	OTU_23	0.465220561066796	0.000984499770837477	47	0.0328
	OTU_2	OTU_9	0.548718187231187	3.88429795861178e-06	62	9e-04
	OTU_2	OTU_20	-0.471049383134796	0.000635361895384046	49	0.0245
	OTU_2	OTU_57	0.390885434217669	0.0034729628832022	54	0.0711
	OTU_2	OTU_14	-0.638472312650002	9.29986856190723e-06	40	0.0012
	OTU_2	OTU_67	-0.651626465800238	1.24596911144081e-06	45	5e-04
	OTU_2	OTU_33	-0.396078750692501	0.00302920185407141	54	0.067
	OTU_2	OTU_26	0.513011004315636	0.000512775728876091	42	0.022
	OTU_2	OTU_538	-0.575307545743716	0.000371688291959327	34	0.0192
	OTU_2	OTU_43	-0.422313981247985	0.00181692669738287	52	0.0514
	OTU_2	OTU_25	0.363831915318525	0.0481047344446301	30	0.2966
	OTU_2	OTU_44	-0.516671312535912	0.0164783636979418	21	0.1637
	OTU_41	OTU_20	0.388637352320653	0.0109744855268996	42	0.1287
	OTU_41	OTU_12	0.611881430538842	0.00042001831145777	29	0.0206
	OTU_41	OTU_19	0.462472780671411	0.00515464523083287	35	0.0841
	OTU_41	OTU_11	0.505898339483874	0.0051128811588419	29	0.0841
	OTU_41	OTU_57	0.367547877448557	0.0153212143856523	43	0.1601
	OTU_41	OTU_18	0.565829859767602	9.41480693537056e-05	42	0.0055
	OTU_41	OTU_13	-0.351446592958113	0.044903986463301	33	0.2872
	OTU_41	OTU_7	-0.463299260769013	0.0171417275743693	26	0.1662
	OTU_41	OTU_92	0.636204621057495	0.00256508251840515	20	0.0602
	OTU_31	OTU_39	0.828154107681594	4.93068652573925e-09	32	0
	OTU_31	OTU_54	0.635268272475112	0.00148937454542519	22	0.0439
	OTU_31	OTU_16	-0.456583107766719	0.0374710288249296	21	0.2593
	OTU_39	OTU_12	0.416857497457037	0.0381700849934963	25	0.26
	OTU_39	OTU_16	-0.502987089848695	0.0470397406374119	16	0.294
	OTU_39	OTU_33	0.454258865734764	0.0257531456090758	24	0.2078
	OTU_39	OTU_18	0.50141313362704	0.00656255066335953	28	0.0948
	OTU_23	OTU_9	0.391681822566579	0.00779587788714964	45	0.1097
	OTU_23	OTU_14	-0.598045313853899	0.000611695932063006	29	0.0245
	OTU_23	OTU_33	-0.41804818724188	0.0100319967440563	37	0.1245
	OTU_23	OTU_538	-0.466681949727485	0.0215089047948211	24	0.1862
	OTU_23	OTU_43	-0.350673576842767	0.0360032084959223	36	0.2559
	OTU_23	OTU_29	0.398801941077628	0.0290366256795274	30	0.2213
